Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-08 12:00:00,34,81,75.67,29.92,121.78
2016-01-08 13:00:00,35.62,81.55,75.09,29.88,84.36
2016-01-08 14:00:00,28,83.4,68.8,29.84,170.4
2016-01-08 15:00:00,28.88,86.9,58.6,29.82,292.5
2016-01-08 16:00:00,40.75,87.6,57.5,29.81,205.2
2016-01-08 17:00:00,36.12,86.7,60.2,29.82,40.4
2016-01-08 18:00:00,25.25,84.7,65.8,29.84,0
2016-01-08 19:00:00,15.06,83.3,69.3,29.85,0
2016-01-08 20:00:00,10.31,82.25,70.88,29.88,0
2016-01-08 21:00:00,7.75,81.8,72.4,29.89,0
2016-01-08 22:00:00,7.38,81.36,76,29.89,0
2016-01-08 23:00:00,6.75,81,78.8,29.89,0
2016-01-09 00:00:00,6.5,80.1,80.8,29.87,0
2016-01-09 01:00:00,7,80.3,82.1,29.85,0
2016-01-09 02:00:00,6.44,79.8,85.1,29.84,0
2016-01-09 03:00:00,7.88,77.91,87.18,29.83,0
2016-01-09 04:00:00,6.19,77.1,87.8,29.82,0
2016-01-09 05:00:00,5.12,78,84,29.83,0
2016-01-09 06:00:00,5.62,78,84.36,29.85,0
2016-01-09 07:00:00,4.88,78.2,87.1,29.87,24.3
2016-01-09 08:00:00,4.38,78.7,88.5,29.89,175.8
2016-01-09 09:00:00,4.25,81.64,84.18,29.9,288.27
2016-01-09 10:00:00,1.38,84.4,74.4,29.91,556.3
2016-01-09 11:00:00,2.25,84.91,71.55,29.9,526.55
2016-01-09 12:00:00,1.06,86.6,66.9,29.87,662.7
2016-01-09 13:00:00,5.3223176,87.36,64,29.83,692.45
2016-01-09 14:00:00,5.33471,87.8,60,29.81,622.2
2016-01-09 15:00:00,5.6438117,87.5,56.3,29.78,463.7
2016-01-09 16:00:00,6.44,88.5,54.8,29.79,268.7
2016-01-09 17:00:00,9.75,85,66.5,29.8,65.6
2016-01-09 18:00:00,10,84,70.45,29.81,1.45
2016-01-09 19:00:00,10.12,83,77.09,29.83,0
2016-01-09 20:00:00,7.62,82.8,80.4,29.86,0
2016-01-09 21:00:00,8,82.09,82.36,29.87,0
2016-01-09 22:00:00,9.63,82,83,29.87,0
2016-01-09 23:00:00,8.5,82,83,29.86,0
2016-01-10 00:00:00,10,82,82.27,29.86,0
2016-01-10 01:00:00,7.69,82,82.4,29.84,0
2016-01-10 02:00:00,7.25,82,82.3,29.83,0
2016-01-10 03:00:00,7.5,81.91,83,29.82,0
2016-01-10 04:00:00,6.69,81.1,85,29.83,0
2016-01-10 05:00:00,8.37,81,86.09,29.83,0
2016-01-10 06:00:00,6.75,80.1,85.8,29.86,2.6
2016-01-10 07:00:00,6.25,80.5,83,29.88,101.7
2016-01-10 08:00:00,5.31,81.45,78.55,29.91,192.64
2016-01-10 09:00:00,2.44,82.5,73.5,29.94,394.3
2016-01-10 10:00:00,2.75,85.4,61.9,29.93,593.6
2016-01-10 11:00:00,1.56,87.7,53.8,29.91,669.1
2016-01-10 12:00:00,1.69,88.91,50.36,29.88,637.91
2016-01-10 13:00:00,0.19,89.91,47.82,29.83,523.64
2016-01-10 14:00:00,4.8892865,90.8,46.4,29.8,501.4
2016-01-10 15:00:00,5.942821,90.8,48.4,29.79,414.2
2016-01-10 16:00:00,7.75,89.56,50.11,29.79,252.67
2016-01-10 17:00:00,9.19,87.36,54,29.8,69
2016-01-10 18:00:00,9.63,84.6,64.3,29.81,0
2016-01-10 19:00:00,10.12,83.4,73.4,29.84,0
2016-01-10 20:00:00,8.5,83,78.45,29.86,0
2016-01-10 21:00:00,10.69,83,80,29.87,0
2016-01-10 22:00:00,8.69,83,80.1,29.88,0
2016-01-10 23:00:00,8.81,82.1,81,29.87,0
2016-01-11 00:00:00,8.25,82,80.55,29.86,0
2016-01-11 01:00:00,6.12,82,80.2,29.85,0
2016-01-11 02:00:00,8.13,81.7,81.4,29.83,0
2016-01-11 03:00:00,5.94,81,82.1,29.82,0
2016-01-11 04:00:00,6.44,81,82.5,29.82,0
2016-01-11 05:00:00,5.88,80,86,29.84,0
2016-01-11 06:00:00,6.25,78,91,29.86,1.4
2016-01-11 07:00:00,23.38,78.22,91,29.87,41.22
2016-01-11 08:00:00,23.5,79.73,86.27,29.91,202
2016-01-11 09:00:00,32.12,81.44,81.78,29.92,299.67
2016-01-11 10:00:00,36.75,83.2,77,29.92,418.8
2016-01-11 11:00:00,35.62,85.5,66.2,29.91,672.4
2016-01-11 12:00:00,32.81,87.55,58.09,29.88,668.18
2016-01-11 13:00:00,39.19,88.7,54.1,29.85,554.2
2016-01-11 14:00:00,38.44,89.2,50.9,29.82,556.7
2016-01-11 15:00:00,37.94,90.91,46.64,29.8,372.55
2016-01-11 16:00:00,33.12,91,45.91,29.79,255.45
2016-01-11 17:00:00,30.5,90.2,46.9,29.81,62
2016-01-11 18:00:00,19.62,86.67,56.78,29.81,1.56
2016-01-11 19:00:00,11.88,84.11,65.11,29.83,0
2016-01-11 20:00:00,10.5,83.3,66.4,29.85,0
2016-01-11 21:00:00,8.5,83,68.3,29.86,0
2016-01-11 22:00:00,7.25,82.1,71.3,29.87,0
2016-01-11 23:00:00,6.63,82,73.62,29.86,0
2016-01-12 00:00:00,6.38,81.4,76.4,29.85,0
2016-01-12 01:00:00,6.19,81,78.62,29.84,0
2016-01-12 02:00:00,5.31,80.44,81.67,29.84,0
2016-01-12 03:00:00,7.88,80,84.1,29.83,0
2016-01-12 04:00:00,5.38,80,85.4,29.83,0
2016-01-12 05:00:00,5.19,79.44,83.56,29.83,0
2016-01-12 06:00:00,8.44,78.17,83.5,29.86,1.17
2016-01-12 07:00:00,21.5,78.11,85.67,29.88,53.33
2016-01-12 08:00:00,21.88,80.4,83.1,29.9,175.5
2016-01-12 09:00:00,27.88,82.89,78.56,29.91,257.11
2016-01-12 10:00:00,36.44,84.44,74.67,29.9,263.67
2016-01-12 11:00:00,33.31,81.9,80.6,29.88,160.7
