month,day,hh,load,Temp
1,29,14,46.875,90
1,29,15,33.9375,90
1,29,16,35.9375,91
1,29,17,22.75,91
1,29,18,14,91
1,29,19,12.5,91
1,29,20,7.750000002,89
1,29,21,6.625000002,86
1,29,22,7.375000002,84
1,29,23,5.8125,83
1,30,0,6.250000002,83
1,30,1,7.562500002,82
1,30,2,5.75,82
1,30,3,5.9375,81
1,30,4,7.6875,81
1,30,5,5.5,80
1,30,6,5.4375,80
1,30,7,6.874999998,80
1,30,8,8.500000002,80
1,30,9,3.8125,80
1,30,10,3.375,80
1,30,11,6.250000002,81
1,30,12,2.9375,84
1,30,13,0.3125,87
1,30,14,1.9375,89
1,30,15,2.75,89
1,30,16,8.312500002,89
1,30,17,13.125,92
1,30,18,12.25,91
1,30,19,12,89
1,30,20,13.9375,86
1,30,21,11.4375,84
1,30,22,9.75,83
1,30,23,9.375,83
1,31,0,8.749999998,83
1,31,1,9.75,82
1,31,2,0,82
1,31,3,0,82
1,31,4,0,81
1,31,5,0,81
1,31,6,0,81
1,31,7,0,81
1,31,8,0,81
1,31,9,0,80
1,31,10,0,81
1,31,11,0,84
1,31,12,0,87
1,31,13,0,89
1,31,14,0,89
1,31,15,0,91
1,31,16,0,91
1,31,17,0,91
1,31,18,0,90
1,31,19,0,90
1,31,20,0,87
1,31,21,0,84
1,31,22,0,83
1,31,23,0,83
2,1,0,0,83
2,1,1,0,82
2,1,2,7.750000002,0
2,1,3,7.249999998,0
2,1,4,9.124999998,0
2,1,5,7.249999998,0
2,1,6,6.874999998,0
2,1,7,16.5,0
2,1,8,33.5625,0
2,1,9,51.6875,81
2,1,10,61.875,83
2,1,11,72.1875,84
2,1,12,74.0625,85
2,1,13,72.75,87
2,1,14,88.6875,90
2,1,15,82.81249998,89
2,1,16,67.37500002,90
2,1,17,49.375,91
2,1,18,32.6875,91
2,1,19,19.9375,92
2,1,20,11.375,89
2,1,21,11.5,86
2,1,22,7.875,85
2,1,23,7.6875,85
2,2,0,10.0625,84
2,2,1,7.624999998,83
2,2,2,7.875,83
2,2,3,8.875000002,83
2,2,4,7.375000002,82
2,2,5,6.9375,82
2,2,6,11.8125,81
2,2,7,22.375,81
2,2,8,35.875,81
2,2,9,57.375,82
2,2,10,63.62500002,82
2,2,11,50.1875,84
2,2,12,41.8125,85
2,2,13,44.875,85
2,2,14,53.1875,86
2,2,15,57.5625,88
2,2,16,53.125,89
2,2,17,43.4375,88
2,2,18,21.375,87
2,2,19,18.6875,87
2,2,20,13,86
2,2,21,10.5,85
2,2,22,11.5,85
2,2,23,10.25,85
2,3,0,10.3125,84
2,3,1,11.0625,83
2,3,2,8.374999998,82
2,3,3,8.374999998,81
2,3,4,9.874999998,80
2,3,5,7.375000002,79
2,3,6,7.000000002,78
2,3,7,14.8125,77
2,3,8,16.9375,77
2,3,9,27.1875,77
2,3,10,40.0625,77
2,3,11,41.25,79
2,3,12,41.5,81
2,3,13,40.3125,83
2,3,14,48.5625,87
2,3,15,48.25,87
2,3,16,47.125,89
2,3,17,34.625,88
2,3,18,31.5625,88
2,3,19,17.6875,89
2,3,20,13.875,88
2,3,21,9.1875,87
2,3,22,8.937499998,86
2,3,23,11.5625,85
2,4,0,9.687499998,85
2,4,1,9.250000002,84
2,4,2,10.625,83
2,4,3,7.999999998,82
2,4,4,7.249999998,81
2,4,5,9,79
2,4,6,10,78
2,4,7,16.625,77
2,4,8,30.375,77
2,4,9,46.5,76
2,4,10,54.5,77
2,4,11,53.5,79
2,4,12,46,82
2,4,13,59.75,87
